room_id,img_url
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/mfq5nx1dczm6wxia.webp
4,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/Phòng Regal Suite/hpmn95li88cchup1.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/9yk293not7bj9s5x.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/565dizmml1teckqu.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/7ejuqkx2afy0g5qb.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/eqo51tt3f0bafj6e.webp
5,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Junior Suite/971z6j0kp0mpe31i.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/7x9e7t4l210pegdd.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/lqzgq94ierd5m6ki.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/4vncc64sq94iqwzp.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/9axexzwyjlu5a9g1.webp
6,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Suite/4ssjwwzrbgukr3vd.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/6vvv19eoxngqfsza.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/14ivcorcvrsvrqz4.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/f54ibse37yu0uv7r.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/44zleb6x5sjz167z.webp
7,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng Executive Suite/avorzjt047ldn8mz.webp
8,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng President Suite/6jjgkkadkrtmb2i9.webp
8,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng President Suite/ega18s7esrzn38fj.webp
8,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng President Suite/15rj7xbfagowa46s.webp
8,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng President Suite/thn34ze4yd97lym1.webp
8,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/Phòng President Suite/qvcz1aonmav9zvxo.webp
9,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Junior Suite có ban công riêng/89mrxa12bguf4ul7.jpg
9,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Junior Suite có ban công riêng/x7zger3wa4nq5bxh.jpg
10,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Junior Suite thông nhau/n211iw7t93eplg24.jpg
10,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Junior Suite thông nhau/p25x53ci0oanocwg.jpg
11,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Executive Suite có ban công riêng/x4lwlqczizppm4s3.jpg
11,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Executive Suite có ban công riêng/qtfb2io23d75gvy9.jpg
11,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Executive Suite có ban công riêng/oxaw9bhtnijukjl3.jpg
11,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Executive Suite có ban công riêng/hdz4r341mwta1v54.jpg
12,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Suite Gia đình có ban công riêng/dqssijmw6o2khqnb.jpg
12,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Suite Gia đình có ban công riêng/obd340ytgt3kw4u5.jpg
12,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Suite Gia đình có ban công riêng/59v8u05zeb8bg2du.jpg
12,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Suite Gia đình có ban công riêng/1hrn6p7nstk0w5aa.jpg
12,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Suite Gia đình có ban công riêng/vukkzcmybzm041ex.jpg
13,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Panorama Suite có ban công /m3m8z6t0ne2ao4xc.jpg
13,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Panorama Suite có ban công /dceidjz3lnw0w4sn.jpg
13,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Panorama Suite có ban công /uxqdqbdzjogx3gw5.jpg
13,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/Phòng Panorama Suite có ban công /hxtnph4bi9wihmow.jpg
14,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Deluxe có ban công riêng/kpa595iaa6xrkihe.jpg
14,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Deluxe có ban công riêng/vilvpfszo93mq2xj.jpg
14,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Deluxe có ban công riêng/ga2iq8ua1jckb3qf.jpg
15,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Premium có ban công riêng/puspltzk37ifqzr3.jpg
15,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Premium có ban công riêng/pzf9128aj2n3nbys.jpg
15,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Premium có ban công riêng/q6ygra0hfqir4f8c.jpg
15,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Premium có ban công riêng/agx3axqqk32bjd1v.jpg
15,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Premium có ban công riêng/8gcajklx3uw09qv4.jpg
16,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Exclusive có sân hiên tắm nắng/duls6ldpx2x2i9k3.jpg
16,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Exclusive có sân hiên tắm nắng/pbo0v81grb3eg78q.jpg
16,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Exclusive có sân hiên tắm nắng/glxyltvc44isbs80.jpg
17,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Deluxe có ban công riêng/7clha6ultnqg3re0.jpg
17,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Deluxe có ban công riêng/fga7q7znqzj8r69q.jpg
18,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Premium có ban công riêng/ttrfrbbb8bs8silg.jpg
18,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Premium có ban công riêng/sbxseh065d04r6o8.jpg
18,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Premium có ban công riêng/exhqh2htnzkw6f2p.jpg
18,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/Phòng Gia đình Premium có ban công riêng/tzlf716pmzi0xpvv.jpg
19,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Deluxe/6omusb9k25jsv6qa.webp
19,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Deluxe/ww270kjt2ridhr5g.webp
19,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Deluxe/yyg320wxfgxultwk.webp
19,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Deluxe/tj4zbk5u04z3bjmv.webp
20,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Suite/ox3qay2zahnp0bk6.webp
20,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Suite/zujtqhrmzksxpt3o.webp
20,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Suite/8fpqij6nkbpyx1gl.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/6whejqanqg2uoo13.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/5vvbu7ljmtdkqyn4.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/a275asf2wzpqa7qz.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/pzbme2oz3b0kf8g5.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/ruhwlg8j5la1gabz.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/zxuafel929o6qdo0.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/blyiqhpfea14mi0t.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/ixhsz8vzs5xyam78.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/ql2sn7rtcussdxb4.webp
21,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/Phòng Royal Suite/beyhygdo2olhe6e1.webp
22,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Deluxe có ban công riêng /60hx3mc5952jqv6j.jpg
22,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Deluxe có ban công riêng /3dlnlzy9y3srchos.jpg
22,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Deluxe có ban công riêng /6l3q2nt56f3saqq3.jpg
23,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Executive có ban công riêng/yr36at5wh9jn6jrg.jpg
23,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Executive có ban công riêng/d1s3lfuspjugrcmr.jpg
23,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Executive có ban công riêng/jfaerw06vd3mw38w.jpg
23,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Executive có ban công riêng/l3zyagmnjkmpw9lt.webp
23,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Executive có ban công riêng/77vf8nw3gm820zco.webp
24,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Elegance Suite có ban công riêng/igfsqwn9jx6yq8o3.jpg
24,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Elegance Suite có ban công riêng/gqfxjk8zoueguy7e.webp
24,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Elegance Suite có ban công riêng/krlm8sq09jtttjj6.webp
