ship_id,ship_name,launch,cabin,shell,trip,company_name,ship_price,address,map_link,company_id
52,Du thuyền Aqua of the seas,2023,27,Kim loại,Vịnh Lan Hạ - Bãi tắm Ba Trái Đào - Hang Sáng - Tối ,,3600000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/1GcsH3i2TWF2V4th6,0
53,Du thuyền La Casta Daily,2022,0,Kim loại, Vịnh Hạ Long - Đảo Ti Tốp - Hang Luồn - Hang Sửng Sốt ,Công ty TNHH du thuyền La Casta,1250000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/1GcsH3i2TWF2V4th6,238
54,Du thuyền Verdure Lotus Luxury,2019,18,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối ,,3050000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/1GcsH3i2TWF2V4th6,0
55,Du thuyền Sea Octopus,2022,0,Kim loại,Vịnh Hạ Long- Hang Sửng Sốt - Đảo Titov - Hang Luồn.,SEALIFE GROUP ,1300000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/UntSxSfBZnPjCpkaA,247
56,Du thuyền M'Gloria ,2022,22,Kim loại,Tuần Châu –Trà Báu – Hang Sáng Tối,M’GLORIA GROUP,3500000,"Cảng tàu khách Quốc tế Tuần Châu, Phường Ngọc Châu, Tuần Châu, Thành phố Hạ Long, Quảng Ninh",https://maps.app.goo.gl/tZqSyKF7h1Zqcz3E6,248
57,Du thuyền Verdure Lotus Premium,2019,18,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối,Công ty du thuyền Verdure Lotus,2700000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/1b39xn4RMXyN541r6,249
58,Du thuyền Verdure Lotus Classic,2018,16,Kim loại,Vịnh Lan Hạ - Hang Trung Trang – Khu vực Trà Báu - Hang Sáng Tối,Công ty du thuyên Verdure Lotus,2850000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/dpaCEGbMzgjrFfF18,250
59,Du thuyền Âu Cơ,2012,32,Kim loại,Vịnh Hạ Long – Hồ Ba Hầm – Vịnh Lan Hạ - Bãi Biển Ba Trái Đào – Làng chài Việt Hải – Làng chài Cửa Vạn.Công ty TNHH du thuyền Bhaya,Công ty TNHH du thuyền Bhaya,3550000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/fhrY65hCvRbfArX76,251
60,Du thuyền Iris,2023,0,Kim loại,Hang Sửng Sốt - Đảo Ti-tốp,Du thuyền Iris,1300000,"Cảng tàu khách quốc tế Hạ Long, Quảng Ninh,Việt Nam",https://maps.app.goo.gl/6QQKMi2TLYsACJ499,252
61,Du thuyền V'Spirit,2019,18,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối,,3000000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/kBVXPKKBze7tfA1T6,0
62,Du thuyền Saquila Yacht,2024,0,Kim loại,Vịnh Hạ Long,Công ty Saquila Hospitality ,890000,"Cảng quốc tế Hạ Long, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/ze7WQCDrnNFvXNDbA,253
63,Du thuyền V Dream,2023,0,Kim loại,Hang Sửng Sốt- Hang Luồn - Đảo Titop,Công ty cổ phần những cánh buồm Phương Đông,990000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/nAbvWZHSNP5fCCb98,254
64,Du thuyền Lily,2023,20,Kim loại,Vịnh Bái Tử Long - Hang Thiên Cảnh Sơn - Làng chài Vung Viêng,Bigbay Group,2500000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long, Quảng Ninh",https://maps.app.goo.gl/2ospoNGxp17rUZ566,255
65,Du thuyền Lavoya Boutique Daily Hạ Long,2024,0,Kim loại,Đảo Titop - Sửng Sốt - Hang Luồn,APC Group,1250000,"Cảng tàu khách quốc tế Hạ Long, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/w25xqU4UMWFFCgjk6,256
66,Du thuyền Luna Hạ Long,2024,0,Kim loại,Hang Sửng Sốt- đảo Titop - Hang Luồn,CÔNG TY CỔ PHẦN HẠ LONG PACIFIC,1600000,"Cảng tàu khách quốc tế Hạ Long, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/w25xqU4UMWFFCgjk6,257
67,Du thuyền Lyra Grandeur,2025,33,Kim Loại,Công ty Cổ phần đầu tư Việt Star Cruise,Công ty Cổ phần đầu tư Việt Star Cruise,5050000,"Cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/niczkVKfHGS9iSUk9,229
68,Du thuyền Indochine Grand,2025,32,Kim loại,Vịnh Lan Hạ - Làng chài Việt Hải – Hang Sáng Tối,HƯƠNG HẢI GROUP,4125000,"Số 22, Bến 2, Cảng Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/ggWm2b6MyGo5j1ks8,258
69,Du thuyền Calista Hạ Long,2025,38,Kim loại,Vịnh Hạ Long - Hang Sửng Sốt - Hang Luồn ,"Công ty TNHH Thương mại, Dịch vụ, Du lịch Minh Loan",3950000,"Lô 37 cảng tàu khách quốc tế Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/Mr6F2vEUtu8W67Cz7,259
70,Du thuyền Majesty Prime Cruise,2024,24,Kim loại, Vịnh Lan Hạ - Hang Sáng Tối,Công ty cổ phần du thuyền Genesis Việt Nam,4325000,"Lô 19 Tuần Châu, Hạ Long, Quảng Ninh",https://maps.app.goo.gl/8CCjY1yNZY2hC6rL6,224
71,Du thuyền Verdure Lotus Grandeur,2025,22,Kim loại,Vịnh Hạ Long - Hang Sửng Sốt - Hang Luồn - Đảo Ti Tốp,Vedure Lotus Cruise,3250000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/X45ttaWKEYQGwU1x8,260
