room_id,ship_id,room_name,size,max_persons,room_price,room_features
1,11,Phòng Grand có ban công riêng,28,2,4150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn, Ban công riêng"
2,11,Phòng Executive có ban công riêng,28,2,4450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,11,Phòng Grand Suite có ban công riêng,35,2,5350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,11,Phòng Captain Grand Suite có ban công riêng,36,2,5650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,12,Phòng Junior Suite có ban công riêng,32,2,4150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn, Ban công riêng"
2,12,Phòng Senior Suite có ban công riêng,32,2,4650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,12,Phòng Regal Terrace có sân hiên,55,2,6150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,13,Phòng Deluxe có ban công riêng,30,2,3850000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
2,13,Phòng Premium có ban công riêng,30,2,4100000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,13,Phòng Ambassador Suite,35,2,4800000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
4,13,Phòng Captain Suite,38,2,5100000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,14,Phòng Deluxe Ocean View,18,2,2800000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn"
2,14,Phòng Suite Ocean View,18,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,14,Phòng Royal Suite ,32,2,3800000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,15,Phòng Junior có ban công riêng,28,2,5900000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,15,Phòng Senior có ban công riêng,30,2,7000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
